county_o,county_d,trips,distance_km,pair_count
USA.33.24_1,USA.33.24_1,36782011,6.258261560703303,478656
USA.33.24_1,USA.33.31_1,6185,21.817962883435584,978
USA.33.24_1,USA.33.32_1,5074532,14.24721598788836,153241
USA.33.24_1,USA.33.3_1,807542,22.12406660730269,108371
USA.33.24_1,USA.33.42_1,3598454,13.29680991505376,286181
USA.33.24_1,USA.33.44_1,596662,16.467757934853925,51822
USA.33.24_1,USA.33.61_1,1987,28.852702052785922,341
USA.33.31_1,USA.33.24_1,6179,21.73120508108108,925
USA.33.31_1,USA.33.31_1,21455,1.4954888888888886,9
USA.33.31_1,USA.33.32_1,5529,22.637196242171193,479
USA.33.31_1,USA.33.3_1,1469,18.58079912280702,342
USA.33.31_1,USA.33.42_1,74393,11.166445698005697,1755
USA.33.31_1,USA.33.44_1,377,38.15166781609195,87
USA.33.32_1,USA.33.24_1,5124899,14.251909633398718,154473
USA.33.32_1,USA.33.31_1,5396,22.64250444015444,518
USA.33.32_1,USA.33.32_1,30854115,6.047825786806898,62563
USA.33.32_1,USA.33.3_1,3543393,11.459600371439803,73767
USA.33.32_1,USA.33.42_1,4379846,14.048843839493106,136044
USA.33.32_1,USA.33.44_1,317769,23.5058137927202,17995
USA.33.32_1,USA.33.61_1,4487,17.32674075630252,238
USA.33.3_1,USA.33.24_1,816750,22.151242390904407,108712
USA.33.3_1,USA.33.31_1,1613,18.604506914893616,376
USA.33.3_1,USA.33.32_1,3518617,11.43427529565644,73396
USA.33.3_1,USA.33.3_1,18476504,4.663403664269312,92324
USA.33.3_1,USA.33.42_1,943032,15.046249745156143,109675
USA.33.3_1,USA.33.44_1,39355,34.76708576783037,9338
USA.33.3_1,USA.33.61_1,19352,6.935052333333333,300
USA.33.42_1,USA.33.24_1,3617961,13.268548478020156,283578
USA.33.42_1,USA.33.31_1,73054,11.226025028376844,1762
USA.33.42_1,USA.33.32_1,4286153,14.014307539121242,134326
USA.33.42_1,USA.33.3_1,944646,15.003089251707,107645
USA.33.42_1,USA.33.42_1,31820802,7.8678306643336695,368053
USA.33.42_1,USA.33.44_1,123275,28.964898616190162,24064
USA.33.42_1,USA.33.61_1,1126,21.425146666666667,240
USA.33.44_1,USA.33.24_1,612234,16.356715649867375,50141
USA.33.44_1,USA.33.31_1,337,38.74997291666667,96
USA.33.44_1,USA.33.32_1,318866,23.42075807432045,17438
USA.33.44_1,USA.33.3_1,37291,34.57903367881549,8780
USA.33.44_1,USA.33.42_1,118323,28.969440769565217,23000
USA.33.44_1,USA.33.44_1,6599565,6.642726690720695,10809
USA.33.44_1,USA.33.61_1,99,42.54638,30
USA.33.61_1,USA.33.24_1,1920,29.148865191740413,339
USA.33.61_1,USA.33.32_1,4478,17.35625294117647,238
USA.33.61_1,USA.33.3_1,19847,6.941522039473684,304
USA.33.61_1,USA.33.42_1,1134,21.067425541125544,231
USA.33.61_1,USA.33.44_1,112,43.08967083333334,24
USA.33.61_1,USA.33.61_1,3625,0.0,1
