city,n_tracts,n_counties,n_tract_unmapped,n_county_pairs,total_trips_tract,total_trips_county,trip_conservation_error
Albuquerque,115,1,0,1,9054311,9054311,0.0
Arlington,68,1,0,1,5038398,5038398,0.0
Atlanta,126,2,0,4,7987756,7987756,0.0
Austin,169,1,0,1,16936351,16936351,0.0
Baltimore,200,1,1,1,9231165,8982653,0.026920979096354578
Boston,178,2,3,4,11845965,11743055,0.00868734628204625
Charlotte,185,1,0,1,14731346,14731346,0.0
Chicago,780,2,0,4,46470427,46470427,0.0
Colorado_Springs,92,1,0,1,8038546,8038546,0.0
Columbus,183,1,0,1,11340302,11340302,0.0
Dallas,434,3,0,9,34024526,34024526,0.0
Denver,144,3,0,9,10760695,10760695,0.0
Detroit,297,2,0,4,9016292,9016292,0.0
El_Paso,128,1,0,1,12752117,12752117,0.0
Fort_Worth,139,1,0,1,11393723,11393723,0.0
Fresno,100,1,0,1,8144338,8144338,0.0
Houston,463,1,0,1,41715577,41715577,0.0
Indianapolis,203,1,0,1,15467070,15467070,0.0
Jacksonville,163,1,0,1,18293354,18293354,0.0
Kansas_City,144,3,0,9,7193886,7193886,0.0
Las_Vegas,140,1,0,1,7390956,7390956,0.0
Long_Beach,103,1,0,1,5152792,5152792,0.0
Los_Angeles,993,1,3,1,65329401,65124769,0.0031323109789419316
Louisville,75,1,0,1,3455665,3455665,0.0
Memphis,173,1,0,1,12447475,12447475,0.0
Mesa,105,1,0,1,5501851,5501851,0.0
Miami,97,1,6,1,5793376,5379254,0.07148198218102882
Milwaukee,207,2,0,4,8581893,8581893,0.0
Minneapolis,114,1,0,1,5772699,5772699,0.0
Nashville,152,1,0,1,12846518,12846518,0.0
New_York,2088,7,51,47,171155786,163606751,0.04410622145137413
Oakland,113,1,2,1,5451842,5056806,0.07245917985150707
Oklahoma_City,166,1,0,1,8876079,8876079,0.0
Omaha,119,2,0,4,6741393,6741393,0.0
Philadelphia,384,1,0,1,27419366,27419366,0.0
Phoenix,348,1,0,1,27207000,27207000,0.0
Portland,141,1,0,1,11051146,11051146,0.0
Raleigh,73,1,0,1,6306409,6306409,0.0
Sacramento,100,1,0,1,6411562,6411562,0.0
San_Antonio,280,1,0,1,28590574,28590574,0.0
San_Diego,277,1,2,1,25280273,24765032,0.02038114857383067
San_Francisco,193,1,3,1,15567591,15138292,0.027576456755576375
San_Jose,183,1,0,1,14019747,14019747,0.0
Seattle,132,1,0,1,12787775,12787775,0.0
Tampa,97,1,4,1,6343735,6038159,0.048169729662414965
Tucson,117,1,0,1,8972522,8972522,0.0
Tulsa,121,2,0,4,7347932,7347932,0.0
Virginia_Beach,100,1,0,1,7512014,7512014,0.0
Washington_DC,179,1,0,1,12246177,12246177,0.0
Wichita,96,1,0,1,6787057,6787057,0.0
