city,cpc_inter_M0,cpc_inter_M1_real_plus,cpc_inter_M1_4bin,delta_real_plus,delta_4bin,ablation_penalty
Arlington,0.288884,0.298861,0.213520,0.009977,-0.075363,0.085341
Austin,0.374360,0.413619,0.315190,0.039259,-0.059170,0.098429
El_Paso,0.324638,0.357236,0.258103,0.032597,-0.066535,0.099133
Long_Beach,0.429585,0.420797,0.335499,-0.008788,-0.094086,0.085298
Memphis,0.454869,0.471828,0.382441,0.016959,-0.072428,0.089387
Milwaukee,0.489749,0.509557,0.489656,0.019808,-0.000093,0.019901
New_York,0.261086,0.295316,0.348778,0.034230,0.087692,-0.053462
San_Diego,0.388293,0.439715,0.376546,0.051422,-0.011747,0.063169
Seattle,0.338156,0.362484,0.263397,0.024328,-0.074759,0.099086
Virginia_Beach,0.350515,0.366725,0.264520,0.016210,-0.085995,0.102205
Atlanta,0.395784,0.409109,0.326146,0.013324,-0.069639,0.082963
Boston,0.423615,0.407743,0.340597,-0.015873,-0.083019,0.067146
Fort_Worth,0.380231,0.432720,0.335079,0.052489,-0.045153,0.097641
Indianapolis,0.429408,0.460498,0.384126,0.031091,-0.045282,0.076372
Los_Angeles,0.320837,0.395290,0.443753,0.074453,0.122916,-0.048463
Mesa,0.413152,0.451589,0.355838,0.038438,-0.057314,0.095752
Oklahoma_City,0.469749,0.491257,0.422411,0.021507,-0.047338,0.068845
Raleigh,0.275466,0.284193,0.194264,0.008726,-0.081202,0.089928
Sacramento,0.382943,0.403653,0.300718,0.020710,-0.082224,0.102935
San_Antonio,0.418982,0.470503,0.391957,0.051521,-0.027025,0.078546
Baltimore,0.483094,0.478239,0.443065,-0.004854,-0.040029,0.035175
Chicago,0.335451,0.373370,0.417073,0.037920,0.081622,-0.043702
Detroit,0.407659,0.438504,0.483315,0.030844,0.075656,-0.044812
Fresno,0.349685,0.361616,0.255610,0.011932,-0.094075,0.106007
Jacksonville,0.340555,0.367975,0.276155,0.027421,-0.064400,0.091820
Las_Vegas,0.444965,0.497242,0.414414,0.052277,-0.030551,0.082828
Louisville,0.398673,0.389869,0.302475,-0.008804,-0.096198,0.087394
Oakland,0.466032,0.460426,0.368044,-0.005605,-0.097988,0.092382
Tulsa,0.455406,0.479993,0.368104,0.024588,-0.087301,0.111889
Washington_DC,0.412615,0.424959,0.355459,0.012344,-0.057157,0.069501
Colorado_Springs,0.314894,0.315729,0.220266,0.000836,-0.094628,0.095464
Columbus,0.438465,0.468887,0.403263,0.030423,-0.035202,0.065625
Houston,0.397426,0.492621,0.466416,0.095195,0.068990,0.026205
Minneapolis,0.447604,0.430112,0.349812,-0.017492,-0.097792,0.080300
Nashville,0.374473,0.417743,0.319845,0.043270,-0.054628,0.097898
Omaha,0.450726,0.474222,0.363445,0.023496,-0.087281,0.110777
Phoenix,0.418219,0.501823,0.459359,0.083603,0.041140,0.042463
Portland,0.403292,0.422114,0.316898,0.018822,-0.086394,0.105215
San_Francisco,0.419996,0.402310,0.323896,-0.017686,-0.096100,0.078414
Tampa,0.347734,0.385284,0.288483,0.037550,-0.059251,0.096801
Albuquerque,0.335594,0.353693,0.253839,0.018099,-0.081755,0.099853
Charlotte,0.393932,0.439768,0.344659,0.045836,-0.049272,0.095109
Dallas,0.348683,0.471577,0.433375,0.122894,0.084692,0.038202
Denver,0.391748,0.413814,0.318120,0.022066,-0.073628,0.095694
Kansas_City,0.428463,0.472803,0.390215,0.044341,-0.038248,0.082588
Miami,0.359143,0.318759,0.239216,-0.040384,-0.119927,0.079543
Philadelphia,0.442563,0.483461,0.444822,0.040899,0.002260,0.038639
San_Jose,0.421897,0.449619,0.351950,0.027722,-0.069947,0.097669
Tucson,0.338055,0.368196,0.262558,0.030141,-0.075496,0.105637
Wichita,0.340209,0.345161,0.242708,0.004952,-0.097501,0.102453
